Totale travel distance: 158495
Games umpired door umpire1
	16,7	16,8	13,3	13,5	21,3	21,9	21,12	21,4	21,11	22,4	21,7	21,17	9,5	9,1	8,1	8,2	18,11	11,7	20,13	20,19	7,4	19,20	6,7	6,9	6,10	15,20	15,21	1,8	17,15	4,6	4,8	3,20	7,22	7,19	7,14	5,18	10,19	2,21	12,13	18,12	11,18	14,20	

Games umpired door umpire2
	17,6	20,4	20,1	19,1	19,2	19,3	19,15	19,14	15,2	11,8	11,4	14,7	13,4	13,6	16,18	22,12	22,20	5,1	11,6	12,8	18,16	13,18	13,21	21,20	3,9	1,6	1,7	4,22	4,21	7,16	6,21	10,15	10,20	2,8	2,16	2,10	2,20	9,22	8,20	8,22	3,22	3,10	

Games umpired door umpire3
	21,2	17,7	17,8	20,2	20,11	7,6	20,5	20,6	19,9	19,7	9,2	12,3	10,1	12,7	15,13	15,18	13,9	22,16	14,18	16,14	15,11	11,14	11,9	8,13	8,11	18,8	13,20	13,19	13,16	8,14	5,17	2,17	2,19	4,13	4,11	1,16	1,17	1,18	1,19	3,19	6,15	6,19	

Games umpired door umpire4
	12,11	12,2	12,4	18,9	18,1	18,2	18,3	15,1	22,6	21,6	8,6	19,18	19,12	10,2	10,3	7,1	7,3	17,14	4,1	4,2	20,17	1,2	4,10	14,16	16,20	16,21	16,19	7,10	2,6	15,19	13,22	18,13	11,15	11,20	3,12	3,14	3,18	6,12	9,11	9,16	5,13	5,15	

Games umpired door umpire5
	19,4	19,5	19,6	15,3	14,8	14,13	16,1	16,2	13,8	13,1	22,5	22,8	22,17	22,18	22,9	21,10	15,14	15,12	15,16	18,10	8,10	7,8	20,22	17,19	4,7	5,4	9,10	6,16	3,8	3,13	3,7	1,12	1,13	10,16	10,22	11,21	5,14	11,19	2,22	2,13	2,14	12,16	

Games umpired door umpire6
	22,1	22,3	21,5	21,8	15,5	15,4	9,4	8,5	20,7	20,12	20,15	20,9	20,18	20,16	17,20	17,9	10,4	19,13	7,5	6,5	13,12	16,17	14,15	12,15	12,18	12,14	12,17	2,18	18,20	11,17	10,18	5,7	5,16	5,9	5,19	8,15	8,21	3,16	3,15	4,17	1,21	1,22	

Games umpired door umpire7
	18,5	18,6	18,7	12,6	12,9	12,5	11,13	9,3	16,3	16,5	14,3	13,2	15,7	21,15	21,19	4,5	17,21	20,10	19,10	22,15	22,19	3,4	1,3	1,4	17,22	7,9	5,8	5,12	5,10	5,22	9,20	8,19	6,8	6,18	6,20	6,13	6,11	10,8	10,14	10,21	10,17	2,11	

Games umpired door umpire8
	13,10	13,11	15,10	22,7	22,10	20,8	8,7	11,12	18,4	18,15	12,1	16,4	14,6	14,5	14,12	16,13	16,12	21,18	21,22	21,13	9,6	9,15	17,16	10,11	19,21	19,22	3,6	3,11	7,11	2,9	2,12	4,9	4,12	1,14	1,15	7,20	7,13	7,17	6,17	5,11	8,16	8,17	

Games umpired door umpire9
	15,8	15,9	14,11	14,4	16,6	16,10	10,6	10,7	12,10	10,9	10,13	11,1	11,2	11,3	11,5	19,11	19,8	4,3	17,12	17,11	21,14	22,21	18,19	18,22	13,14	13,17	2,4	20,21	1,9	1,10	1,11	6,22	3,21	3,17	8,18	9,17	9,12	5,20	5,21	7,15	7,12	7,21	

Games umpired door umpire10
	14,9	14,10	16,9	16,11	13,7	22,11	22,14	22,13	14,1	14,2	18,17	15,6	21,16	19,17	7,2	20,14	5,2	8,9	9,8	9,7	2,1	10,12	8,12	3,5	1,5	11,10	11,22	9,14	12,19	12,20	14,19	14,21	14,17	12,21	17,13	4,19	4,15	4,14	4,16	6,14	9,19	9,13	

Games umpired door umpire11
	20,3	21,1	22,2	17,10	17,4	17,1	17,2	17,18	17,5	17,3	19,16	10,5	8,3	8,4	6,4	6,3	6,1	6,2	3,2	3,1	5,3	5,6	2,5	2,7	2,15	2,3	18,14	15,17	14,22	18,21	16,15	11,16	9,18	15,22	9,21	12,22	16,22	13,15	7,18	1,20	4,20	4,18	

Solution Status from LocalSolver: Feasible

Solution [travelDistance=158495, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9--10--11-
 [16, 7]  [17, 6]  [21, 2]  [12, 11]  [19, 4]  [22, 1]  [18, 5]  [13, 10]  [15, 8]  [14, 9]  [20, 3] 
 [17, 15]  [4, 21]  [13, 16]  [2, 6]  [3, 8]  [18, 20]  [5, 10]  [7, 11]  [1, 9]  [12, 19]  [14, 22] 
 [4, 6]  [7, 16]  [8, 14]  [15, 19]  [3, 13]  [11, 17]  [5, 22]  [2, 9]  [1, 10]  [12, 20]  [18, 21] 
 [4, 8]  [6, 21]  [5, 17]  [13, 22]  [3, 7]  [10, 18]  [9, 20]  [2, 12]  [1, 11]  [14, 19]  [16, 15] 
 [3, 20]  [10, 15]  [2, 17]  [18, 13]  [1, 12]  [5, 7]  [8, 19]  [4, 9]  [6, 22]  [14, 21]  [11, 16] 
 [7, 22]  [10, 20]  [2, 19]  [11, 15]  [1, 13]  [5, 16]  [6, 8]  [4, 12]  [3, 21]  [14, 17]  [9, 18] 
 [7, 19]  [2, 8]  [4, 13]  [11, 20]  [10, 16]  [5, 9]  [6, 18]  [1, 14]  [3, 17]  [12, 21]  [15, 22] 
 [7, 14]  [2, 16]  [4, 11]  [3, 12]  [10, 22]  [5, 19]  [6, 20]  [1, 15]  [8, 18]  [17, 13]  [9, 21] 
 [5, 18]  [2, 10]  [1, 16]  [3, 14]  [11, 21]  [8, 15]  [6, 13]  [7, 20]  [9, 17]  [4, 19]  [12, 22] 
 [10, 19]  [2, 20]  [1, 17]  [3, 18]  [5, 14]  [8, 21]  [6, 11]  [7, 13]  [9, 12]  [4, 15]  [16, 22] 
 [2, 21]  [9, 22]  [1, 18]  [6, 12]  [11, 19]  [3, 16]  [10, 8]  [7, 17]  [5, 20]  [4, 14]  [13, 15] 
 [12, 13]  [8, 20]  [1, 19]  [9, 11]  [2, 22]  [3, 15]  [10, 14]  [6, 17]  [5, 21]  [4, 16]  [7, 18] 
 [18, 12]  [8, 22]  [3, 19]  [9, 16]  [2, 13]  [4, 17]  [10, 21]  [5, 11]  [7, 15]  [6, 14]  [1, 20] 
 [11, 18]  [3, 22]  [6, 15]  [5, 13]  [2, 14]  [1, 21]  [10, 17]  [8, 16]  [7, 12]  [9, 19]  [4, 20] 
 [14, 20]  [3, 10]  [6, 19]  [5, 15]  [12, 16]  [1, 22]  [2, 11]  [8, 17]  [7, 21]  [9, 13]  [4, 18] 
----------------------
